\STAR_ID='HD 10476'
\DATA_CATEGORY='Planet Radial Velocity Curve'
\NUMBER_OF_POINTS='69'
\TIME_REFERENCE_FRAME='HJD'
\MINIMUM_DATE='2453239.95314'
\DATE_UNITS='days'
\MAXIMUM_DATE='2456846.12504'
\MINIMUM_VALUE='-8.32420205519'
\VALUE_UNITS='m/s'
\MAXIMUM_VALUE='8.25642806954'
\REFERENCE='Howard & Fulton, 2016'
\BIBCODE='2016arXiv160603134H'
\TELESCOPE='10m Keck I'
\INSTRUMENT='j: post-upgrade Keck HIRES (after August 19 2004)'
\WAVELENGTH_CALIBRATION_TECHNIQUE='Iodine'
\OBSERVATORY_SITE='Mauna Kea, Hawaii'
\COLUMN_RADIAL_VELOCITY='Relative radial velocity'
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY='Uncertainty in RADIAL_VELOCITY'
|          HJD|Radial_Velocity|Radial_Velocity_Uncertainty|
|       double|         double|                     double|
|         days|          m / s|                      m / s|
|         null|           null|                       null|
 2453239.95314   1.78264443163                   0.9460064 
 2453301.96427 -0.351827152271                    0.846838 
 2453338.81941 -0.989683352578                   0.5394563 
 2453369.74825  -1.88433340104                   0.5119305 
 2453425.76016  -4.19263418556                    0.564258 
 2453692.73085  -2.03012729401                   0.5109267 
 2453693.71641  -2.29666674622                   0.4744561 
 2453693.94643  -2.94819310707                   0.4916544 
 2453694.71442  -3.74362073279                   0.4708546 
 2453694.86406  -1.31639646824                   0.4782579 
 2453695.95505  -2.31279250285                   0.4463216 
 2453696.76785  -1.47946953228                   0.5017964 
 2453724.84434   -1.3933408677                   0.4110046 
 2453746.79367 0.0245950290396                   0.4821768 
 2453747.83042   4.45467269713                   0.6120521 
 2453748.74513  -1.69314220061                   0.4814987 
 2453749.76066  -3.47646202148                   0.4929358 
 2453750.78036  -4.18188226981                   0.4624833 
 2453751.74459  -3.02766668197                   0.4890451 
 2453752.80323  -2.51625939089                   0.4530523 
 2453753.79677  -2.91846858944                   0.4694916 
 2453775.74111  -2.46514126016                   0.4915103 
 2453776.71666 -0.775835684408                   0.5831944 
 2453927.11978  -2.60379171149                   0.9411225 
 2453928.10802 -0.917327822105                   0.4898962 
 2453931.13312  -1.86894498743                   0.5542714 
 2453933.08568  -2.44353421029                   0.5471357 
  2453961.0918   4.71912992298                   0.5056884 
 2453962.05494   1.77023636352                   0.5096807 
 2453981.91604  0.390118689102                   0.5046637 
 2453982.98625   3.93115255048                   0.5290849 
 2453983.92052    1.0276015714                   0.5008377 
 2453984.94498   2.02584690379                   0.5033863 
 2454084.88429  -3.22648460627                   0.5898598 
 2454085.94168  -5.03431190741                   0.6134995 
 2454130.70802 -0.872951371443                   0.5512431 
  2454131.8347 -0.750862166714                   0.6563746 
 2454336.96015  -3.06273113705                   0.6051038 
  2454398.8202  0.792994101231                   1.0795459 
  2454429.7973  0.984671448309                   0.5464975 
  2454430.9203 0.0581374059126                     0.59207 
 2454454.91415  -2.86504483265                   1.0234895 
 2454455.79786  -3.31147800491                   1.0010446 
 2454458.82297  -4.99929503819                   1.2629683 
 2454460.80458  -3.71668724889                   1.0632218 
 2454461.80553   -5.3710985454                   0.6461861 
 2454717.98803  0.213567783597                   1.1205084 
 2454719.05824   8.25642806954                   0.9600179 
 2454720.06188 -0.767658508995                   1.1510197 
 2454721.01508   2.42863587677                   1.0902797 
 2454722.05343 -0.894211927689                   1.0653591 
 2454722.99857  -1.41905998863                   1.0260903 
 2454723.99019  -2.56612666788                   1.0788192 
 2454725.00207  -2.43268865723                   1.1481849 
 2454725.90971  -3.11947957125                   1.1114466 
 2454727.04054 -0.196580906696                    1.199458 
 2455015.12517 -0.709013826545                   1.0644571 
 2455171.96202  -7.60325738471                   1.3735349 
 2455379.12776  -3.41726943119                   1.3503643 
 2455522.89751  -5.08944373764                   0.5820042 
 2455584.69872  -1.89633592517                   1.0217192 
 2455761.12769  -5.46248662024                   1.0830106 
 2455762.12897  -4.53264972088                   1.0823932 
 2455807.02236  -5.71044181139                    1.267324 
 2456174.11462  -4.17595910145                   1.1468612 
 2456535.15107  -2.97011464622                   1.0672616 
 2456842.13006 -0.509681246246                    1.147063 
 2456844.12256  -8.32420205519                   1.1581314 
 2456846.12504  -3.48284942126                   1.1352415 
