\STAR_ID='HD 26965'
\DATA_CATEGORY='Planet Radial Velocity Curve'
\NUMBER_OF_POINTS='77'
\TIME_REFERENCE_FRAME='HJD'
\MINIMUM_DATE='2449769.72281'
\DATE_UNITS='days'
\MAXIMUM_DATE='2454785.91622'
\MINIMUM_VALUE='-16.8958454132'
\VALUE_UNITS='m/s'
\MAXIMUM_VALUE='16.8099994659'
\REFERENCE='Howard & Fulton, 2016'
\BIBCODE='2016arXiv160603134H'
\TELESCOPE='3.0m Shane'
\INSTRUMENT='l: Hamilton Spectrograph post-dewar 16 (after November 1994)'
\WAVELENGTH_CALIBRATION_TECHNIQUE='Iodine'
\OBSERVATORY_SITE='Lick Observatory, California'
\COLUMN_RADIAL_VELOCITY='Relative radial velocity'
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY='Uncertainty in RADIAL_VELOCITY'
|          HJD|Radial_Velocity|Radial_Velocity_Uncertainty|
|       double|         double|                     double|
|         days|          m / s|                      m / s|
|         null|           null|                       null|
 2449769.72281   -2.1400001049                   0.9299999 
 2450005.02687  -2.55999994278                        1.28 
 2450072.81152   1.98000001907                   2.0999999 
 2450087.74512  -2.67000007629                         2.0 
 2450091.72949  -1.09000003338                         1.9 
 2450326.95898   7.17000007629                         1.9 
 2450437.82617  -6.15999984741                         2.0 
 2450503.63867   2.81999993324                        2.04 
 2450682.01269   14.6000003815                        2.25 
 2450793.79199   12.0200004578                   2.8699999 
  2451046.0166   6.63000011444                   3.0599999 
 2451049.94043   7.53000020981                   2.4000001 
 2451101.99219   3.08999991417                   2.1400001 
 2451130.91699   16.8099994659                        3.01 
 2451132.87793   13.1400003433                   2.4100001 
 2451173.77539    2.8900001049                        4.79 
 2451175.79004  -2.91000008583                        3.04 
 2451536.70019  -6.44000005722                   2.9000001 
 2451546.85156   1.69000005722                   3.1099999 
 2451626.64648   11.6300001144                        2.73 
 2451806.01465   7.90000009537                   2.6899998 
 2451814.94922    10.970000267                        2.53 
 2451816.94531   14.2600002289                   2.6899998 
 2451881.82031   8.18000030518                        2.74 
 2451887.80856   9.55000019073                   2.0899999 
 2452180.97712   8.31999969482                   1.4299999 
 2452181.97998   4.34000015259                        1.33 
 2452182.95921   7.92999982834                   1.3100001 
 2452183.97912   3.23000001907                         1.6 
 2452184.96395   6.94999980927                   1.4400001 
  2452188.9855  -2.79999995232                        1.25 
 2452190.02046  -2.15000009537                   1.6299999 
 2452196.03233   1.94000005722                   1.7299999 
 2452201.98341   6.17999982834                        1.89 
 2452202.96209   4.05999994278                        1.39 
 2452203.94013   7.32000017166                        1.46 
 2452204.94413   10.3699998856                        1.58 
 2452214.95214 -0.939999997616                        1.89 
 2452215.92674   8.60999965668                   2.0699999 
 2452220.89604   -2.6400001049                   1.9500002 
 2452221.83008  -5.34999990463                         2.8 
 2452228.95623    10.779999733                   1.7500001 
 2452232.78283  -16.8958454132                   1.3428745 
 2452241.75631  -9.55000019073                        1.12 
 2452267.76594  -8.90999984741                   1.5599999 
 2452279.79981   6.42000007629                   2.8699999 
 2452281.81711  0.629999995232                   1.9200001 
 2452535.98964  -4.57999992371                   1.5500001 
 2452576.92196  -4.76000022888                        1.65 
  2452990.7832  -6.96999979019                   2.1700001 
 2453018.76074  -14.2700004578                   2.0899999 
 2453020.83203  -5.96000003815                   2.4000001 
 2453048.71034  -7.38000011444                        1.96 
 2453251.00098  -10.2700004578                   2.0799999 
 2453276.01744  -8.53999996185                        1.37 
 2453280.98535  -8.06999969482                   2.0699999 
 2453286.00879  -1.16999995708                   2.3299999 
 2453315.91459 -0.910000026226                   1.6700001 
 2453338.74414  -1.03999996185                         2.5 
 2453340.81568  -5.80000019073                        1.52 
 2453402.70039  -9.52999973297                        1.61 
 2453403.70478  -10.8400001526                        1.59 
 2453405.68108  -8.18000030518                   1.5700002 
 2453637.03029   1.30999994278                   1.5099999 
 2453637.96913  0.219999998808                        1.59 
 2453962.93813  -7.01999998093                        1.46 
 2453963.94821  -2.95000004768                   1.5599999 
 2453964.99687  0.340000003576                        1.65 
 2453988.93697 -0.180000007153                        1.71 
 2454071.89942  -2.73000001907                   2.5699999 
 2454072.77809  -7.53000020981                   2.1500001 
 2454073.74396  -16.4400005341                   2.0599999 
 2454102.75411  -6.15000009537                        1.76 
 2454103.75186  -6.40999984741                   1.5599999 
 2454341.01242  -4.73000001907                        1.48 
 2454723.99642   5.73000001907                        1.58 
 2454785.91622   4.55000019073                        1.76 
